time(sec)	y1	y2
0.282	4.754	4.780
0.282	4.751	4.774
0.283	4.747	4.768
0.284	4.744	4.762
0.285	4.741	4.756
0.285	4.737	4.750
0.286	4.733	4.743
0.287	4.729	4.737
0.288	4.725	4.730
0.289	4.720	4.723
0.290	4.715	4.715
0.292	4.711	4.708
0.293	4.705	4.700
0.294	4.700	4.692
0.296	4.695	4.684
0.297	4.689	4.676
0.298	4.683	4.668
0.299	4.677	4.659
0.300	4.671	4.651
0.301	4.665	4.642
0.302	4.658	4.632
0.303	4.652	4.623
0.303	4.645	4.614
0.304	4.638	4.604
0.305	4.630	4.594
0.306	4.623	4.584
0.307	4.615	4.574
0.308	4.607	4.563
0.308	4.599	4.553
0.309	4.591	4.542
0.310	4.583	4.531
0.311	4.574	4.520
0.312	4.565	4.509
0.314	4.556	4.497
0.315	4.547	4.486
0.316	4.538	4.474
0.317	4.528	4.462
0.319	4.519	4.450
0.320	4.509	4.437
0.321	4.499	4.425
0.321	4.488	4.412
0.322	4.478	4.399
0.323	4.467	4.386
0.324	4.457	4.373
0.325	4.446	4.360
0.325	4.434	4.346
0.326	4.423	4.332
0.327	4.412	4.319
0.329	4.400	4.304
0.330	4.388	4.290
0.332	4.376	4.276
0.333	4.364	4.261
0.334	4.352	4.246
0.335	4.339	4.232
0.336	4.326	4.216
0.337	4.313	4.201
0.338	4.301	4.186
0.339	4.287	4.170
0.340	4.274	4.154
0.340	4.260	4.139
0.341	4.246	4.122
0.342	4.233	4.106
0.343	4.218	4.090
0.343	4.204	4.073
0.344	4.190	4.057
0.346	4.175	4.040
0.347	4.160	4.023
0.348	4.145	4.006
0.349	4.130	3.988
0.350	4.115	3.971
0.351	4.100	3.953
0.352	4.084	3.935
0.352	4.068	3.917
0.353	4.052	3.899
0.354	4.036	3.881
0.355	4.020	3.862
0.356	4.004	3.844
0.356	3.987	3.825
0.357	3.970	3.806
0.358	3.954	3.787
0.359	3.936	3.768
0.359	3.919	3.749
0.360	3.902	3.729
0.362	3.884	3.710
0.363	3.867	3.690
0.364	3.849	3.670
0.365	3.831	3.650
0.366	3.813	3.630
0.367	3.794	3.609
0.368	3.776	3.589
0.369	3.757	3.568
0.370	3.739	3.547
0.371	3.720	3.526
0.372	3.701	3.505
0.373	3.681	3.484
0.374	3.662	3.463
0.375	3.643	3.441
0.376	3.623	3.420
0.377	3.603	3.398
0.379	3.583	3.376
0.381	3.563	3.354
0.382	3.543	3.332
0.383	3.523	3.310
0.384	3.502	3.287
0.385	3.481	3.265
0.386	3.461	3.242
0.387	3.440	3.219
0.387	3.419	3.197
0.388	3.397	3.173
0.389	3.376	3.150
0.390	3.355	3.127
0.391	3.333	3.104
0.391	3.311	3.080
0.392	3.289	3.056
0.393	3.267	3.033
0.393	3.245	3.009
0.394	3.223	2.985
0.395	3.200	2.961
0.397	3.178	2.936
0.398	3.155	2.912
0.399	3.132	2.888
0.400	3.110	2.863
0.401	3.086	2.838
0.401	3.063	2.814
0.402	3.040	2.788
0.403	3.017	2.763
0.404	2.993	2.738
0.405	2.969	2.713
0.405	2.946	2.688
0.406	2.922	2.662
0.407	2.898	2.637
0.408	2.874	2.611
0.409	2.849	2.585
0.409	2.825	2.559
0.410	2.801	2.533
0.412	2.776	2.507
0.413	2.751	2.481
0.415	2.726	2.455
0.416	2.701	2.429
0.417	2.676	2.402
0.418	2.651	2.376
0.419	2.626	2.349
0.420	2.601	2.322
0.421	2.575	2.295
0.422	2.550	2.268
0.422	2.524	2.241
0.423	2.498	2.214
0.424	2.472	2.187
0.425	2.446	2.160
0.425	2.420	2.132
0.426	2.394	2.105
0.427	2.368	2.078
0.428	2.341	2.050
0.429	2.315	2.022
0.431	2.288	1.995
0.432	2.262	1.967
0.432	2.235	1.939
0.433	2.208	1.911
0.434	2.181	1.883
0.435	2.154	1.854
0.435	2.127	1.826
0.436	2.100	1.798
0.437	2.073	1.770
0.438	2.045	1.741
0.438	2.018	1.713
0.439	1.990	1.684
0.440	1.962	1.655
0.441	1.935	1.627
0.441	1.907	1.598
0.442	1.879	1.569
0.443	1.851	1.540
0.443	1.823	1.511
0.444	1.795	1.482
0.445	1.767	1.453
0.446	1.739	1.424
0.447	1.711	1.395
0.448	1.682	1.366
0.449	1.654	1.337
0.449	1.625	1.307
0.451	1.597	1.278
0.453	1.568	1.248
0.454	1.539	1.219
0.455	1.511	1.189
0.456	1.482	1.160
0.457	1.453	1.130
0.459	1.424	1.100
0.460	1.395	1.071
0.461	1.366	1.041
0.462	1.337	1.011
0.464	1.307	0.981
0.465	1.278	0.952
0.466	1.249	0.922
0.468	1.220	0.892
0.469	1.190	0.862
0.470	1.161	0.832
0.471	1.131	0.802
0.473	1.102	0.772
0.474	1.072	0.741
0.475	1.043	0.711
0.476	1.013	0.681
0.477	0.983	0.651
0.478	0.953	0.621
0.479	0.923	0.590
0.480	0.894	0.560
0.481	0.864	0.530
0.482	0.834	0.500
0.483	0.804	0.469
0.484	0.774	0.439
0.485	0.744	0.408
0.486	0.714	0.378
0.486	0.684	0.348
0.487	0.654	0.317
0.488	0.623	0.287
0.489	0.593	0.257
0.490	0.563	0.226
0.491	0.533	0.196
0.492	0.503	0.165
0.493	0.472	0.135
0.494	0.442	0.104
0.495	0.412	0.074
0.496	0.381	0.043
0.498	0.351	0.013
0.499	0.321	-0.018
0.500	0.290	-0.048
0.501	0.260	-0.078
0.502	0.230	-0.109
0.503	0.199	-0.139
0.504	0.169	-0.170
0.505	0.138	-0.200
0.505	0.108	-0.231
0.506	0.078	-0.261
0.507	0.047	-0.292
0.508	0.016	-0.322
0.508	-0.014	-0.352
0.509	-0.044	-0.383
0.510	-0.075	-0.413
0.511	-0.105	-0.443
0.512	-0.136	-0.474
0.513	-0.166	-0.504
0.515	-0.197	-0.534
0.516	-0.227	-0.565
0.517	-0.258	-0.595
0.518	-0.288	-0.625
0.519	-0.318	-0.655
0.519	-0.349	-0.685
0.520	-0.379	-0.716
0.521	-0.410	-0.746
0.522	-0.440	-0.776
0.522	-0.470	-0.806
0.523	-0.501	-0.836
0.524	-0.531	-0.866
0.525	-0.562	-0.896
0.525	-0.592	-0.926
0.526	-0.622	-0.956
0.527	-0.652	-0.985
0.528	-0.683	-1.015
0.530	-0.713	-1.045
0.531	-0.743	-1.075
0.532	-0.773	-1.104
0.533	-0.803	-1.134
0.533	-0.833	-1.164
0.535	-0.864	-1.193
0.535	-0.894	-1.223
0.536	-0.924	-1.252
0.537	-0.954	-1.282
0.538	-0.984	-1.311
0.539	-1.014	-1.340
0.540	-1.043	-1.370
0.541	-1.073	-1.399
0.543	-1.103	-1.428
0.544	-1.133	-1.457
0.546	-1.162	-1.486
0.547	-1.192	-1.515
0.548	-1.222	-1.544
0.549	-1.251	-1.573
0.551	-1.281	-1.601
0.551	-1.310	-1.630
0.552	-1.340	-1.659
0.553	-1.369	-1.687
0.554	-1.399	-1.716
0.555	-1.428	-1.744
0.555	-1.457	-1.773
0.556	-1.486	-1.801
0.557	-1.515	-1.829
0.558	-1.544	-1.857
0.559	-1.574	-1.885
0.559	-1.602	-1.914
0.560	-1.631	-1.941
0.561	-1.660	-1.969
0.564	-1.689	-1.997
0.565	-1.718	-2.025
0.566	-1.746	-2.052
0.567	-1.775	-2.080
0.568	-1.803	-2.107
0.569	-1.832	-2.135
0.569	-1.860	-2.162
0.570	-1.888	-2.189
0.571	-1.917	-2.216
0.571	-1.945	-2.243
0.572	-1.973	-2.270
0.573	-2.001	-2.297
0.574	-2.029	-2.324
0.574	-2.057	-2.351
0.575	-2.084	-2.377
0.576	-2.112	-2.404
0.579	-2.140	-2.430
0.581	-2.167	-2.456
0.583	-2.195	-2.483
0.584	-2.222	-2.509
0.585	-2.249	-2.535
0.586	-2.277	-2.561
0.587	-2.304	-2.586
0.588	-2.331	-2.612
0.589	-2.358	-2.638
0.590	-2.385	-2.663
0.590	-2.411	-2.688
0.591	-2.438	-2.714
0.592	-2.465	-2.739
0.593	-2.491	-2.764
0.594	-2.517	-2.789
0.597	-2.544	-2.814
0.598	-2.570	-2.838
0.599	-2.596	-2.863
0.600	-2.622	-2.888
0.601	-2.648	-2.912
0.602	-2.673	-2.936
0.603	-2.699	-2.960
0.603	-2.725	-2.984
0.604	-2.750	-3.008
0.605	-2.776	-3.032
0.606	-2.801	-3.056
0.607	-2.826	-3.079
0.607	-2.851	-3.103
0.608	-2.876	-3.126
0.609	-2.901	-3.149
0.610	-2.926	-3.172
0.610	-2.950	-3.195
0.612	-2.975	-3.218
0.613	-2.999	-3.241
0.614	-3.023	-3.263
0.615	-3.047	-3.286
0.616	-3.071	-3.308
0.617	-3.095	-3.330
0.618	-3.119	-3.352
0.618	-3.143	-3.374
0.619	-3.166	-3.396
0.620	-3.190	-3.417
0.621	-3.213	-3.439
0.622	-3.236	-3.460
0.623	-3.259	-3.482
0.624	-3.282	-3.503
0.625	-3.305	-3.524
0.626	-3.328	-3.544
0.628	-3.350	-3.565
0.629	-3.372	-3.586
0.630	-3.395	-3.606
0.631	-3.417	-3.626
0.632	-3.439	-3.646
0.633	-3.461	-3.666
0.633	-3.483	-3.686
0.634	-3.504	-3.706
0.636	-3.526	-3.725
0.637	-3.547	-3.745
0.637	-3.568	-3.764
0.638	-3.589	-3.783
